x,y,id,ig_date,last_date
2232472.5,4723705.0,764079,2017-07-31 00:00:00,2017-07-31 00:00:00
2234325.8,4721388.5,764080,2001-07-27 00:00:00,2001-08-05 00:00:00
2226449.2,4721851.5,764082,2004-07-14 00:00:00,2004-07-18 00:00:00
2226912.8,4723241.5,764083,2016-06-17 00:00:00,2016-06-17 00:00:00
2230619.2,4723241.5,764084,2017-09-14 00:00:00,2017-09-15 00:00:00
2232472.5,4723241.5,764085,2016-07-25 00:00:00,2016-07-25 00:00:00
2233399.0,4723241.5,764086,2001-08-02 00:00:00,2001-08-05 00:00:00
2233399.0,4723241.5,764087,2017-08-03 00:00:00,2017-08-03 00:00:00
2234325.8,4723241.5,764088,2008-07-26 00:00:00,2008-07-26 00:00:00
2234789.0,4723241.5,764089,2022-08-12 00:00:00,2022-08-15 00:00:00
2238032.2,4723241.5,764090,2008-08-13 00:00:00,2008-08-22 00:00:00
2238495.5,4722315.0,764091,2001-07-05 00:00:00,2001-07-05 00:00:00
2238032.2,4723241.5,764092,2001-09-13 00:00:00,2001-09-13 00:00:00
2239422.0,4723241.5,764093,2001-07-10 00:00:00,2001-07-10 00:00:00
2225986.0,4722778.5,764097,2001-07-04 00:00:00,2001-07-04 00:00:00
2227839.2,4722778.5,764098,2001-07-11 00:00:00,2001-07-11 00:00:00
2228766.0,4722778.5,764099,2006-08-01 00:00:00,2006-08-01 00:00:00
2232935.8,4722778.5,764100,2001-07-04 00:00:00,2001-07-05 00:00:00
2234325.8,4722315.0,764101,2001-07-05 00:00:00,2001-07-05 00:00:00
2240812.0,4721851.5,764102,2001-08-01 00:00:00,2001-08-03 00:00:00
2228766.0,4720462.0,764104,2014-06-13 00:00:00,2014-06-21 00:00:00
2225986.0,4721851.5,764105,2001-08-02 00:00:00,2001-08-02 00:00:00
2232009.0,4721388.5,764106,2016-07-19 00:00:00,2016-07-24 00:00:00
2232009.0,4722315.0,764107,2006-08-12 00:00:00,2006-08-12 00:00:00
2225522.8,4721851.5,764109,2004-08-18 00:00:00,2004-08-18 00:00:00
2232009.0,4719998.5,764110,2001-07-04 00:00:00,2001-07-05 00:00:00
2231082.5,4721851.5,764111,2006-08-13 00:00:00,2006-08-13 00:00:00
2231545.8,4721851.5,764112,2016-06-09 00:00:00,2016-06-09 00:00:00
2229229.2,4721388.5,764114,2004-06-18 00:00:00,2004-06-18 00:00:00
2231545.8,4721388.5,764115,2016-06-01 00:00:00,2016-06-01 00:00:00
2237105.5,4721388.5,764116,2001-07-05 00:00:00,2001-07-05 00:00:00
2238032.2,4721388.5,764117,2001-07-05 00:00:00,2001-07-05 00:00:00
2227839.2,4720925.0,764118,2006-08-11 00:00:00,2006-08-11 00:00:00
2228302.5,4720925.0,764119,2002-07-27 00:00:00,2002-07-27 00:00:00
2227839.2,4720462.0,764120,2004-06-30 00:00:00,2004-07-08 00:00:00
2229229.2,4720925.0,764121,2001-07-05 00:00:00,2001-07-05 00:00:00
2231082.5,4720925.0,764122,2016-06-10 00:00:00,2016-06-15 00:00:00
2232009.0,4720925.0,764123,2001-08-30 00:00:00,2001-08-30 00:00:00
2232935.8,4720925.0,764124,2001-07-05 00:00:00,2001-07-05 00:00:00
2233399.0,4720925.0,764125,2006-08-11 00:00:00,2006-08-11 00:00:00
2233862.2,4720925.0,764126,2001-07-04 00:00:00,2001-07-04 00:00:00
2235715.5,4719535.0,764127,2006-08-09 00:00:00,2006-08-15 00:00:00
2227839.2,4720462.0,764128,2016-08-30 00:00:00,2016-08-30 00:00:00
2228766.0,4719535.0,764129,2004-06-04 00:00:00,2004-06-09 00:00:00
2236179.0,4720462.0,764130,2001-07-05 00:00:00,2001-07-05 00:00:00
2227839.2,4719998.5,764132,2001-08-06 00:00:00,2001-08-06 00:00:00
2227839.2,4719998.5,764133,2017-08-01 00:00:00,2017-08-01 00:00:00
2228302.5,4719998.5,764134,2017-08-09 00:00:00,2017-08-09 00:00:00
2229692.5,4719998.5,764135,2001-07-11 00:00:00,2001-07-11 00:00:00
2230155.8,4719072.0,764136,2001-07-05 00:00:00,2001-07-08 00:00:00
2233862.2,4719998.5,764137,2001-07-05 00:00:00,2001-07-05 00:00:00
2227376.0,4719535.0,764139,2010-11-08 00:00:00,2010-11-08 00:00:00
2230155.8,4719072.0,764140,2004-07-14 00:00:00,2004-07-17 00:00:00
2236642.2,4719535.0,764141,2001-07-05 00:00:00,2001-07-05 00:00:00
2238958.8,4719072.0,764142,2001-07-05 00:00:00,2001-07-05 00:00:00
2225522.8,4719072.0,764143,2010-10-20 00:00:00,2010-10-22 00:00:00
